epoch,train_loss,val_loss,val_f1,val_auc
0,0.6932071447372437,0.6768596172332764,0.6670619626445301,0.6649983209876543
1,0.6780972480773926,0.6637734174728394,0.6882018151053684,0.7265128888888889
2,0.6660140156745911,0.6515438556671143,0.70361597978841,0.7536548148148148
3,0.65449059009552,0.6397001147270203,0.7669409910698651,0.778005925925926
4,0.6431446075439453,0.6280950903892517,0.7820147979510529,0.7937466666666666
5,0.6320968866348267,0.6167380809783936,0.7804081632653062,0.8035664197530864
6,0.622044026851654,0.6055959463119507,0.7658282740676496,0.8071043950617284
7,0.6118143200874329,0.5947936773300171,0.7573991031390135,0.8071328395061728
8,0.6013960242271423,0.5843170285224915,0.7482179811450909,0.808025086419753
9,0.591402530670166,0.5741708278656006,0.7427637721755369,0.8096837530864198
10,0.5820057392120361,0.5642374157905579,0.7439568176484394,0.813274074074074
11,0.5729125738143921,0.5543711185455322,0.7501769285208776,0.8181983209876544
12,0.5634250640869141,0.5445770025253296,0.7581023954908408,0.8235238518518518
13,0.5536065101623535,0.5347908735275269,0.769266589057043,0.8298690370370371
14,0.5427010655403137,0.525006115436554,0.7761332099907493,0.8363939753086419
15,0.5337560772895813,0.515083909034729,0.7846012832263978,0.8432781234567901
16,0.5243422389030457,0.5049200057983398,0.7919340054995417,0.8502632098765431
17,0.5135579109191895,0.4944569766521454,0.7974423384334323,0.8577407407407408
18,0.5035618543624878,0.48365044593811035,0.803178206583428,0.8658701234567902
19,0.4926546812057495,0.4726933538913727,0.8079440306928458,0.8738687407407407
