epoch,train_loss,val_loss,val_f1,val_auc
0,0.6883376836776733,0.6712256669998169,0.6933541829554339,0.6967092345679011
1,0.6717867255210876,0.656255304813385,0.6989162871053871,0.7366981728395061
2,0.6570876240730286,0.6433659195899963,0.6991136180499598,0.7550313086419753
3,0.6456496715545654,0.6321117281913757,0.6986137258257744,0.7679355061728395
4,0.6355329155921936,0.6212848424911499,0.7222324893734984,0.7774243950617284
5,0.6254030466079712,0.6108937859535217,0.7566158781074579,0.7846006913580247
6,0.6150976419448853,0.6008141040802002,0.7664921465968586,0.7890611358024693
7,0.6058464646339417,0.590947687625885,0.7676680354441323,0.7928633086419754
8,0.5968412160873413,0.5812392830848694,0.7683790965456155,0.7951772839506173
9,0.5874903202056885,0.5717890858650208,0.7669071235347159,0.7986960000000001
10,0.5785467624664307,0.562630295753479,0.7663850194108244,0.8026765432098766
11,0.5702198147773743,0.5536553859710693,0.7688060731538993,0.8071355061728396
12,0.561014711856842,0.5447337031364441,0.7714285714285715,0.8124998518518518
13,0.553409218788147,0.5357896089553833,0.7722681359044995,0.8185764938271605
14,0.5457718372344971,0.5266557335853577,0.7782867613376088,0.8256576790123457
15,0.5348286628723145,0.5170520544052124,0.7847174559597346,0.8330025679012345
16,0.5247172117233276,0.5068387389183044,0.7896897810218978,0.8414108641975309
17,0.5148571133613586,0.4960879385471344,0.7972696245733788,0.8508487901234567
18,0.5047747492790222,0.4850596785545349,0.8024467603081106,0.8611875555555556
19,0.49490243196487427,0.47402745485305786,0.810126582278481,0.8712383209876544
20,0.4844222366809845,0.46350356936454773,0.815842470351309,0.8797101234567901
21,0.47408947348594666,0.4537068009376526,0.825368468066101,0.8859476543209877
22,0.4650160074234009,0.44487103819847107,0.827433628318584,0.8893981234567901
23,0.45733946561813354,0.4368927776813507,0.8316483516483516,0.8918650864197532
24,0.4493044912815094,0.4295065402984619,0.8371278458844134,0.8934414814814814
25,0.44160041213035583,0.4224601686000824,0.8389496717724289,0.8952832592592593
26,0.4350549578666687,0.4157102704048157,0.8395874478823787,0.8971658271604939
27,0.4269515573978424,0.4092160165309906,0.8398857895892818,0.8993148641975308
28,0.42094889283180237,0.4029039144515991,0.8376408217362492,0.9017023209876543
29,0.41116610169410706,0.39666086435317993,0.8375916463008221,0.9040562962962962
30,0.40524524450302124,0.3906426429748535,0.837354781054513,0.9063766913580248
31,0.399730920791626,0.38482150435447693,0.8384494734483531,0.9090615308641976
32,0.3931601941585541,0.3789876699447632,0.8396775638154949,0.9118532345679011
33,0.38703539967536926,0.3729340136051178,0.8391138957261133,0.914751012345679
34,0.3805067539215088,0.3665997087955475,0.8418937025457793,0.9178082962962963
35,0.37499454617500305,0.36035600304603577,0.8448121645796064,0.9205404444444445
36,0.36890044808387756,0.3544865846633911,0.8504464285714286,0.9236054320987654
37,0.36195650696754456,0.34906163811683655,0.8539076376554174,0.9262906666666668
38,0.3570825755596161,0.34408271312713623,0.8569527611443779,0.9284924444444443
39,0.35229191184043884,0.3391897678375244,0.8578420467185762,0.9312678518518518
40,0.3485354781150818,0.33447200059890747,0.85950044603033,0.9334046419753086
41,0.3430608808994293,0.32998859882354736,0.8627450980392157,0.9351839999999999
42,0.3385469317436218,0.32574957609176636,0.8645995984831586,0.93674587654321
43,0.3337506949901581,0.3217143714427948,0.864671728450201,0.9382283456790124
44,0.33036744594573975,0.317853718996048,0.8657718120805369,0.9397011358024692
45,0.3265058696269989,0.3141378164291382,0.868903803131991,0.9410364444444445
46,0.32133057713508606,0.3105039596557617,0.8718520169378203,0.9424614320987654
47,0.3173995018005371,0.3068598210811615,0.8752783964365256,0.9438527407407407
48,0.3131271004676819,0.30333027243614197,0.8777234326367275,0.9450804938271605
49,0.3110469579696655,0.3000175654888153,0.8807991120976693,0.9461663209876543
50,0.3076018989086151,0.29683858156204224,0.8796625222024866,0.9471870617283951
51,0.30437642335891724,0.29371610283851624,0.8811375249944456,0.9482780246913579
52,0.30114275217056274,0.29071083664894104,0.8815672306322351,0.9492696296296297
53,0.299287885427475,0.28776729106903076,0.882313681868743,0.9502689382716049
54,0.2953190505504608,0.2847282886505127,0.8822479928635147,0.9513512098765431
55,0.29120132327079773,0.28168633580207825,0.8828386520865878,0.9523998024691358
56,0.28973692655563354,0.27873578667640686,0.8841870824053452,0.9534465185185185
57,0.2859664857387543,0.2756067216396332,0.8861607142857143,0.9545059753086418
58,0.28399398922920227,0.2726357877254486,0.8886910062333037,0.9554857283950616
59,0.27872779965400696,0.2698124945163727,0.8889382496668148,0.9563829135802469
60,0.27600568532943726,0.2669282853603363,0.8910714285714286,0.9572777283950616
61,0.27220651507377625,0.2641950845718384,0.8912608405603736,0.9580774320987654
62,0.27011165022850037,0.2613251805305481,0.8922596475574393,0.9589462716049382
63,0.26651301980018616,0.2584925889968872,0.8930087111905294,0.9598409876543209
64,0.26467326283454895,0.2559506297111511,0.8952507767421216,0.9605990123456788
65,0.2625100910663605,0.25311341881752014,0.8944182918628111,0.9615766913580248
66,0.2592571973800659,0.2502778172492981,0.8985121030424161,0.9624324938271605
67,0.255185604095459,0.24742934107780457,0.8979955456570156,0.9633871604938271
68,0.25227344036102295,0.24506831169128418,0.8978036754818467,0.9641793580246912
69,0.25066763162612915,0.2425171434879303,0.900753212228622,0.9648848395061729
70,0.24714411795139313,0.23967605829238892,0.9004908522980812,0.9657372839506173
71,0.24351371824741364,0.2372896373271942,0.8999328408327737,0.9664239012345679
72,0.24206531047821045,0.23523326218128204,0.9035690534249612,0.9669772839506172
73,0.23971907794475555,0.2327234148979187,0.9021982951996411,0.9677572345679013
74,0.23639081418514252,0.23022015392780304,0.9061387900355872,0.9683732345679013
75,0.23372061550617218,0.22828979790210724,0.9062707733215156,0.9688946172839504
76,0.23193620145320892,0.22601507604122162,0.9056350626118068,0.969595061728395
77,0.22962501645088196,0.22376106679439545,0.9071889606053861,0.9701482469135803
78,0.22764457762241364,0.22185713052749634,0.9075966237227898,0.9706377283950618
79,0.22497762739658356,0.22013817727565765,0.9080717488789237,0.9711998024691357
80,0.2232331931591034,0.21822577714920044,0.909252274240071,0.9715352098765433
81,0.21989959478378296,0.21613948047161102,0.910022271714922,0.9720967901234568
82,0.21682454645633698,0.21451307833194733,0.9114093959731544,0.9725690864197531
83,0.21718910336494446,0.21282242238521576,0.9111111111111111,0.9729506172839506
84,0.2138337343931198,0.21087759733200073,0.9114886008046491,0.9734805925925925
85,0.21248409152030945,0.20924903452396393,0.9125475285171103,0.9738630123456791
86,0.2107219099998474,0.20770211517810822,0.9138660137992433,0.974162172839506
87,0.20845253765583038,0.20608121156692505,0.9152693941426335,0.9745481481481483
88,0.20682156085968018,0.20455171167850494,0.9162011173184358,0.97489412345679
89,0.20450948178768158,0.20305024087429047,0.9165551093261937,0.97521787654321
90,0.20228300988674164,0.20156988501548767,0.9176733780760626,0.975579061728395
91,0.20084258913993835,0.2001383751630783,0.9183035714285714,0.9758504691358024
92,0.19948828220367432,0.19882327318191528,0.918216446336545,0.9761843950617283
93,0.19831974804401398,0.1975654512643814,0.9205076820307281,0.9764422716049385
94,0.19705680012702942,0.1961175948381424,0.9208697601434656,0.9767878518518519
95,0.19506661593914032,0.19462938606739044,0.9217702279839071,0.9770967901234567
96,0.19373027980327606,0.19357281923294067,0.9227687513910527,0.977315950617284
97,0.19300876557826996,0.192645862698555,0.9220750056141926,0.9776197530864198
98,0.19266563653945923,0.1913786083459854,0.9228374471870135,0.977799901234568
99,0.1901891827583313,0.1898488700389862,0.9236624132527423,0.9781073580246915
100,0.1885938197374344,0.18880772590637207,0.9240761478163494,0.9783385679012346
101,0.18754133582115173,0.1880446821451187,0.9240365337491646,0.978483950617284
102,0.1870175153017044,0.18692846596240997,0.9246298788694481,0.9788411851851853
103,0.18449290096759796,0.1855975240468979,0.9244186046511628,0.9789976296296297
104,0.18365423381328583,0.18469759821891785,0.925479696564034,0.9791587160493826
105,0.18294617533683777,0.18398448824882507,0.9253195783808029,0.9794055308641975
106,0.18229593336582184,0.18285076320171356,0.9269162210338681,0.9795849876543209
107,0.17988470196723938,0.18171435594558716,0.9265788886409284,0.9798385185185184
108,0.1789296418428421,0.18092148005962372,0.9265890778871978,0.9800703209876545
109,0.18001346290111542,0.18010923266410828,0.9282850779510022,0.9801816296296297
110,0.17793719470500946,0.17919045686721802,0.9280286097451944,0.9803859753086419
111,0.17764653265476227,0.17841923236846924,0.9277566539923955,0.9805833086419753
112,0.1760137379169464,0.17768026888370514,0.9293199554069119,0.9807282962962962
113,0.17568223178386688,0.17688465118408203,0.928379588182632,0.9809600987654321
114,0.1737668216228485,0.17602889239788055,0.9298597194388778,0.9810880987654322
115,0.17380012571811676,0.17519612610340118,0.930004458314757,0.9812756543209877
