variant,accuracy,precision,recall,f1,roc_auc,best_val_f1,epochs_trained
domain_ip,0.7462222222222222,0.7321877619446773,0.7764444444444445,0.7536669542709232,0.7835173333333334,0.7411689145793192,14
domain_ip_ns,0.8753333333333333,0.8775145283862316,0.8724444444444445,0.8749721417428126,0.9500272592592592,0.8757819481680071,100
domain_ip_ns_reg,0.9193333333333333,0.9236641221374046,0.9142222222222223,0.918918918918919,0.9749906172839506,0.9151716500553709,100
full_model,0.9204444444444444,0.9253597122302158,0.9146666666666666,0.9199821189092534,0.9769846913580247,0.917981773727495,100
