train_up_to_snapshot,test_snapshot,train_domains,test_domains,f1,roc_auc,best_val_f1
11,12,21437,151,0.9057971014492754,,0.9162851536952257
15,16,21573,40,0.9041095890410958,,0.6828908554572272
17,18,21615,59,0.9464285714285714,,0.9159475870885266
18,19,21665,216,0.9226932668329177,,0.9162187796395826
22,23,21880,337,0.9233226837060703,,0.9178208679593721
23,24,22167,3593,0.888476411446249,,0.9154466686585001
24,25,25221,155,0.6462882096069869,,0.9180771834800271
25,26,25352,101,0.7976190476190477,,0.9275815824765311
26,27,25438,72,0.6153846153846154,,0.9246590655041359
