variant,accuracy,precision,recall,f1,roc_auc,best_val_f1,epochs_trained
domain_ip,0.812,0.8052173913043478,0.8231111111111111,0.8140659340659341,0.8965755061728394,0.8199470432480142,100
domain_ip_ns,0.7657777777777778,0.7131147540983607,0.8893333333333333,0.7915348101265823,0.8283245432098766,0.7941763063422417,20
domain_ip_ns_reg,0.9215555555555556,0.9228711547035221,0.92,0.9214333407522813,0.9769405432098766,0.9197406662195394,100
full_model,0.9191111111111111,0.9243924392439244,0.9128888888888889,0.9186046511627907,0.9765796543209877,0.9201435621354868,100
